DistanceType	StimClass	Comparison	reliabilityMeasure	nVoxels	ID	Distance
conVals_spearman	CAT	BASE_VS_AJCHANGE	correlation	top100	ss002	0.572025202520252
conVals_spearman	CAT	BASE_VS_PREPCHANGE	correlation	top100	ss002	0.447320732073207
conVals_spearman	CAT	BASE_VS_MEANINGPRES	correlation	top100	ss002	0.563924392439244
conVals_spearman	PEN	BASE_VS_NCHANGE	correlation	top100	ss002	0.106774677467747
conVals_spearman	PEN	BASE_VS_AJCHANGE	correlation	top100	ss002	0.255841584158416
conVals_spearman	PEN	BASE_VS_PREPCHANGE	correlation	top100	ss002	0.26028202820282
conVals_spearman	PEN	BASE_VS_MEANINGPRES	correlation	top100	ss002	0.211869186918692
conVals_spearman	GLASS	BASE_VS_NCHANGE	correlation	top100	ss002	0.56003600360036
conVals_spearman	GLASS	BASE_VS_AJCHANGE	correlation	top100	ss002	0.255253525352535
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	correlation	top100	ss002	0.361800180018002
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	correlation	top100	ss002	0.533585358535854
conVals_spearman	MAN	BASE_VS_NCHANGE	correlation	top100	ss003	0.105214521452145
conVals_spearman	MAN	BASE_VS_AJCHANGE	correlation	top100	ss003	0.104698469846985
conVals_spearman	MAN	BASE_VS_PREPCHANGE	correlation	top100	ss003	0.0752835283528356
conVals_spearman	MAN	BASE_VS_MEANINGPRES	correlation	top100	ss003	0.230543054305431
conVals_spearman	CAT	BASE_VS_NCHANGE	correlation	top100	ss003	0.0793039303930393
conVals_spearman	CAT	BASE_VS_AJCHANGE	correlation	top100	ss003	0.0796519651965198
conVals_spearman	CAT	BASE_VS_PREPCHANGE	correlation	top100	ss003	0.0978697869786981
conVals_spearman	CAT	BASE_VS_MEANINGPRES	correlation	top100	ss003	0.0791839183918394
conVals_spearman	PEN	BASE_VS_NCHANGE	correlation	top100	ss003	0.205916591659166
conVals_spearman	PEN	BASE_VS_AJCHANGE	correlation	top100	ss003	0.225106510651065
conVals_spearman	PEN	BASE_VS_PREPCHANGE	correlation	top100	ss003	0.0871047104710474
conVals_spearman	PEN	BASE_VS_MEANINGPRES	correlation	top100	ss003	0.125184518451845
conVals_spearman	GLASS	BASE_VS_NCHANGE	correlation	top100	ss003	0.110435043504351
conVals_spearman	GLASS	BASE_VS_AJCHANGE	correlation	top100	ss003	0.185154515451545
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	correlation	top100	ss003	0.115127512751275
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	correlation	top100	ss003	0.082316231623162
conVals_spearman	MAN	BASE_VS_NCHANGE	correlation	top100	ss004	0.596747674767477
conVals_spearman	MAN	BASE_VS_AJCHANGE	correlation	top100	ss004	0.658205820582058
conVals_spearman	MAN	BASE_VS_PREPCHANGE	correlation	top100	ss004	0.416657665766576
conVals_spearman	MAN	BASE_VS_MEANINGPRES	correlation	top100	ss004	0.278715871587159
conVals_spearman	CAT	BASE_VS_NCHANGE	correlation	top100	ss004	0.595487548754876
conVals_spearman	CAT	BASE_VS_AJCHANGE	correlation	top100	ss004	0.323288328832883
conVals_spearman	CAT	BASE_VS_PREPCHANGE	correlation	top100	ss004	0.466906690669067
conVals_spearman	CAT	BASE_VS_MEANINGPRES	correlation	top100	ss004	0.578589858985899
conVals_spearman	PEN	BASE_VS_NCHANGE	correlation	top100	ss004	0.362232223222322
conVals_spearman	PEN	BASE_VS_AJCHANGE	correlation	top100	ss004	0.477779777977798
conVals_spearman	PEN	BASE_VS_PREPCHANGE	correlation	top100	ss004	0.444932493249325
conVals_spearman	PEN	BASE_VS_MEANINGPRES	correlation	top100	ss004	0.465610561056106
conVals_spearman	GLASS	BASE_VS_NCHANGE	correlation	top100	ss004	0.463366336633663
conVals_spearman	GLASS	BASE_VS_AJCHANGE	correlation	top100	ss004	0.418745874587459
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	correlation	top100	ss004	0.256573657365737
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	correlation	top100	ss004	0.191167116711671
conVals_spearman	MAN	BASE_VS_NCHANGE	correlation	top100	ss005	0.153123312331233
conVals_spearman	MAN	BASE_VS_AJCHANGE	correlation	top100	ss005	0.169168916891689
conVals_spearman	MAN	BASE_VS_PREPCHANGE	correlation	top100	ss005	0.184638463846385
conVals_spearman	MAN	BASE_VS_MEANINGPRES	correlation	top100	ss005	0.106846684668467
conVals_spearman	CAT	BASE_VS_NCHANGE	correlation	top100	ss005	0.113675367536754
conVals_spearman	CAT	BASE_VS_AJCHANGE	correlation	top100	ss005	0.806888688868887
conVals_spearman	CAT	BASE_VS_PREPCHANGE	correlation	top100	ss005	0.122016201620162
conVals_spearman	CAT	BASE_VS_MEANINGPRES	correlation	top100	ss005	0.404080408040804
conVals_spearman	PEN	BASE_VS_NCHANGE	correlation	top100	ss005	0.276399639963997
conVals_spearman	PEN	BASE_VS_AJCHANGE	correlation	top100	ss005	0.245916591659166
conVals_spearman	PEN	BASE_VS_PREPCHANGE	correlation	top100	ss005	0.283216321632163
conVals_spearman	PEN	BASE_VS_MEANINGPRES	correlation	top100	ss005	0.172865286528653
conVals_spearman	GLASS	BASE_VS_NCHANGE	correlation	top100	ss005	0.0804080408040806
conVals_spearman	GLASS	BASE_VS_AJCHANGE	correlation	top100	ss005	0.158559855985599
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	correlation	top100	ss005	0.08975697569757
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	correlation	top100	ss005	0.133657365736574
conVals_spearman	MAN	BASE_VS_NCHANGE	correlation	top100	ss006	0.221578157815781
conVals_spearman	MAN	BASE_VS_AJCHANGE	correlation	top100	ss006	0.153783378337834
conVals_spearman	MAN	BASE_VS_PREPCHANGE	correlation	top100	ss006	0.167680768076808
conVals_spearman	MAN	BASE_VS_MEANINGPRES	correlation	top100	ss006	0.146606660666066
conVals_spearman	CAT	BASE_VS_NCHANGE	correlation	top100	ss006	0.539465946594659
conVals_spearman	CAT	BASE_VS_AJCHANGE	correlation	top100	ss006	0.411701170117012
conVals_spearman	CAT	BASE_VS_PREPCHANGE	correlation	top100	ss006	0.551767176717672
conVals_spearman	CAT	BASE_VS_MEANINGPRES	correlation	top100	ss006	0.577137713771377
conVals_spearman	PEN	BASE_VS_NCHANGE	correlation	top100	ss006	0.274623462346234
conVals_spearman	PEN	BASE_VS_AJCHANGE	correlation	top100	ss006	0.428778877887789
conVals_spearman	PEN	BASE_VS_PREPCHANGE	correlation	top100	ss006	0.211905190519052
conVals_spearman	PEN	BASE_VS_MEANINGPRES	correlation	top100	ss006	0.223018301830183
conVals_spearman	GLASS	BASE_VS_NCHANGE	correlation	top100	ss006	0.354839483948395
conVals_spearman	GLASS	BASE_VS_AJCHANGE	correlation	top100	ss006	0.436423642364237
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	correlation	top100	ss006	0.53021302130213
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	correlation	top100	ss006	0.389126912691269
conVals_spearman	MAN	BASE_VS_NCHANGE	correlation	top100	ss007	0.0663186318631865
conVals_spearman	MAN	BASE_VS_AJCHANGE	correlation	top100	ss007	0.0309390939093912
conVals_spearman	MAN	BASE_VS_PREPCHANGE	correlation	top100	ss007	0.0503330333033302
conVals_spearman	MAN	BASE_VS_MEANINGPRES	correlation	top100	ss007	0.0703390339033904
conVals_spearman	CAT	BASE_VS_NCHANGE	correlation	top100	ss007	0.0458205820582063
conVals_spearman	CAT	BASE_VS_AJCHANGE	correlation	top100	ss007	0.0692469246924695
conVals_spearman	CAT	BASE_VS_PREPCHANGE	correlation	top100	ss007	0.0327032703270329
conVals_spearman	CAT	BASE_VS_MEANINGPRES	correlation	top100	ss007	0.0866246624662468
conVals_spearman	PEN	BASE_VS_NCHANGE	correlation	top100	ss007	0.105622562256226
conVals_spearman	PEN	BASE_VS_AJCHANGE	correlation	top100	ss007	0.142586258625863
conVals_spearman	PEN	BASE_VS_PREPCHANGE	correlation	top100	ss007	0.118703870387039
conVals_spearman	PEN	BASE_VS_MEANINGPRES	correlation	top100	ss007	0.144590459045905
conVals_spearman	GLASS	BASE_VS_NCHANGE	correlation	top100	ss007	0.0993339333933396
conVals_spearman	GLASS	BASE_VS_AJCHANGE	correlation	top100	ss007	0.0773957395739576
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	correlation	top100	ss007	0.055745574557456
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	correlation	top100	ss007	0.0895649564956496
conVals_spearman	MAN	BASE_VS_NCHANGE	correlation	top100	ss008	0.179129912991299
conVals_spearman	MAN	BASE_VS_AJCHANGE	correlation	top100	ss008	0.0793639363936391
conVals_spearman	MAN	BASE_VS_PREPCHANGE	correlation	top100	ss008	0.147542754275427
conVals_spearman	MAN	BASE_VS_MEANINGPRES	correlation	top100	ss008	0.172781278127813
conVals_spearman	CAT	BASE_VS_NCHANGE	correlation	top100	ss008	0.0632343234323434
conVals_spearman	CAT	BASE_VS_AJCHANGE	correlation	top100	ss008	0.0892289228922893
conVals_spearman	CAT	BASE_VS_PREPCHANGE	correlation	top100	ss008	0.0531653165316535
conVals_spearman	CAT	BASE_VS_MEANINGPRES	correlation	top100	ss008	0.0441164116411641
conVals_spearman	PEN	BASE_VS_NCHANGE	correlation	top100	ss008	0.0644464446444647
conVals_spearman	PEN	BASE_VS_AJCHANGE	correlation	top100	ss008	0.197563756375638
conVals_spearman	PEN	BASE_VS_PREPCHANGE	correlation	top100	ss008	0.0571857185718574
conVals_spearman	PEN	BASE_VS_MEANINGPRES	correlation	top100	ss008	0.0460966096609663
conVals_spearman	GLASS	BASE_VS_NCHANGE	correlation	top100	ss008	0.0496489648964897
conVals_spearman	GLASS	BASE_VS_AJCHANGE	correlation	top100	ss008	0.0685388538853885
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	correlation	top100	ss008	0.0173897389738974
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	correlation	top100	ss008	0.0422922292229222
conVals_spearman	MAN	BASE_VS_NCHANGE	correlation	top100	ss009	0.153291329132913
conVals_spearman	MAN	BASE_VS_AJCHANGE	correlation	top100	ss009	0.209012901290129
conVals_spearman	MAN	BASE_VS_PREPCHANGE	correlation	top100	ss009	0.0586138613861389
conVals_spearman	MAN	BASE_VS_MEANINGPRES	correlation	top100	ss009	0.213933393339334
conVals_spearman	CAT	BASE_VS_NCHANGE	correlation	top100	ss009	0.194503450345034
conVals_spearman	CAT	BASE_VS_AJCHANGE	correlation	top100	ss009	0.303570357035703
conVals_spearman	CAT	BASE_VS_PREPCHANGE	correlation	top100	ss009	0.212181218121812
conVals_spearman	CAT	BASE_VS_MEANINGPRES	correlation	top100	ss009	0.168796879687969
conVals_spearman	PEN	BASE_VS_NCHANGE	correlation	top100	ss009	0.153183318331833
conVals_spearman	PEN	BASE_VS_AJCHANGE	correlation	top100	ss009	0.162364236423643
conVals_spearman	PEN	BASE_VS_PREPCHANGE	correlation	top100	ss009	0.180594059405941
conVals_spearman	PEN	BASE_VS_MEANINGPRES	correlation	top100	ss009	0.151191119111911
conVals_spearman	GLASS	BASE_VS_NCHANGE	correlation	top100	ss009	0.233183318331833
conVals_spearman	GLASS	BASE_VS_AJCHANGE	correlation	top100	ss009	0.177569756975698
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	correlation	top100	ss009	0.237275727572757
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	correlation	top100	ss009	0.224074407440744
conVals_spearman	MAN	BASE_VS_NCHANGE	correlation	top100	ss010	0.495373537353735
conVals_spearman	MAN	BASE_VS_AJCHANGE	correlation	top100	ss010	0.721452145214522
conVals_spearman	MAN	BASE_VS_PREPCHANGE	correlation	top100	ss010	0.749126912691269
conVals_spearman	MAN	BASE_VS_MEANINGPRES	correlation	top100	ss010	0.726144614461446
conVals_spearman	CAT	BASE_VS_NCHANGE	correlation	top100	ss010	0.762688268826883
conVals_spearman	CAT	BASE_VS_AJCHANGE	correlation	top100	ss010	0.61035703570357
conVals_spearman	CAT	BASE_VS_PREPCHANGE	correlation	top100	ss010	0.796351635163516
conVals_spearman	CAT	BASE_VS_MEANINGPRES	correlation	top100	ss010	0.637275727572757
conVals_spearman	PEN	BASE_VS_NCHANGE	correlation	top100	ss010	0.376201620162016
conVals_spearman	PEN	BASE_VS_AJCHANGE	correlation	top100	ss010	0.424194419441944
conVals_spearman	PEN	BASE_VS_PREPCHANGE	correlation	top100	ss010	0.540894089408941
conVals_spearman	PEN	BASE_VS_MEANINGPRES	correlation	top100	ss010	0.415769576957696
conVals_spearman	GLASS	BASE_VS_NCHANGE	correlation	top100	ss010	0.583606360636064
conVals_spearman	GLASS	BASE_VS_AJCHANGE	correlation	top100	ss010	0.603744374437444
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	correlation	top100	ss010	0.513243324332433
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	correlation	top100	ss010	0.674371437143714
conVals_spearman	MAN	BASE_VS_NCHANGE	correlation	top100	ss011	0.127752775277528
conVals_spearman	MAN	BASE_VS_AJCHANGE	correlation	top100	ss011	0.442208220822082
conVals_spearman	MAN	BASE_VS_PREPCHANGE	correlation	top100	ss011	0.13971797179718
conVals_spearman	MAN	BASE_VS_MEANINGPRES	correlation	top100	ss011	0.116591659165917
conVals_spearman	CAT	BASE_VS_NCHANGE	correlation	top100	ss011	0.388034803480348
conVals_spearman	CAT	BASE_VS_AJCHANGE	correlation	top100	ss011	0.140858085808581
conVals_spearman	CAT	BASE_VS_PREPCHANGE	correlation	top100	ss011	0.112739273927393
conVals_spearman	CAT	BASE_VS_MEANINGPRES	correlation	top100	ss011	0.162544254425443
conVals_spearman	PEN	BASE_VS_NCHANGE	correlation	top100	ss011	0.157755775577558
conVals_spearman	PEN	BASE_VS_AJCHANGE	correlation	top100	ss011	0.11967596759676
conVals_spearman	PEN	BASE_VS_PREPCHANGE	correlation	top100	ss011	0.143414341434143
conVals_spearman	PEN	BASE_VS_MEANINGPRES	correlation	top100	ss011	0.417185718571857
conVals_spearman	GLASS	BASE_VS_NCHANGE	correlation	top100	ss011	0.627314731473147
conVals_spearman	GLASS	BASE_VS_AJCHANGE	correlation	top100	ss011	0.356375637563756
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	correlation	top100	ss011	0.646876687668767
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	correlation	top100	ss011	0.235799579957996
conVals_spearman	MAN	BASE_VS_NCHANGE	correlation	top100	ss012	0.32
conVals_spearman	MAN	BASE_VS_AJCHANGE	correlation	top100	ss012	0.388082808280828
conVals_spearman	MAN	BASE_VS_PREPCHANGE	correlation	top100	ss012	0.424542454245425
conVals_spearman	MAN	BASE_VS_MEANINGPRES	correlation	top100	ss012	0.37965796579658
conVals_spearman	CAT	BASE_VS_NCHANGE	correlation	top100	ss012	1.01258925892589
conVals_spearman	CAT	BASE_VS_AJCHANGE	correlation	top100	ss012	0.277551755175518
conVals_spearman	CAT	BASE_VS_PREPCHANGE	correlation	top100	ss012	0.293885388538854
conVals_spearman	CAT	BASE_VS_MEANINGPRES	correlation	top100	ss012	0.304134413441344
conVals_spearman	PEN	BASE_VS_NCHANGE	correlation	top100	ss012	0.86983498349835
conVals_spearman	PEN	BASE_VS_AJCHANGE	correlation	top100	ss012	0.318799879987999
conVals_spearman	PEN	BASE_VS_PREPCHANGE	correlation	top100	ss012	0.767272727272727
conVals_spearman	PEN	BASE_VS_MEANINGPRES	correlation	top100	ss012	0.544470447044705
conVals_spearman	GLASS	BASE_VS_NCHANGE	correlation	top100	ss012	0.422298229822982
conVals_spearman	GLASS	BASE_VS_AJCHANGE	correlation	top100	ss012	0.222286228622862
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	correlation	top100	ss012	0.425526552655266
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	correlation	top100	ss012	0.478175817581758
conVals_spearman	MAN	BASE_VS_NCHANGE	correlation	top100	ss013	0.61989798979898
conVals_spearman	MAN	BASE_VS_AJCHANGE	correlation	top100	ss013	0.248016801680168
conVals_spearman	MAN	BASE_VS_PREPCHANGE	correlation	top100	ss013	0.061818181818182
conVals_spearman	MAN	BASE_VS_MEANINGPRES	correlation	top100	ss013	0.454149414941494
conVals_spearman	CAT	BASE_VS_NCHANGE	correlation	top100	ss013	0.273567356735674
conVals_spearman	CAT	BASE_VS_AJCHANGE	correlation	top100	ss013	0.440744074407441
conVals_spearman	CAT	BASE_VS_PREPCHANGE	correlation	top100	ss013	0.745238523852385
conVals_spearman	CAT	BASE_VS_MEANINGPRES	correlation	top100	ss013	0.622970297029703
conVals_spearman	PEN	BASE_VS_NCHANGE	correlation	top100	ss013	0.670483048304831
conVals_spearman	PEN	BASE_VS_AJCHANGE	correlation	top100	ss013	0.475175517551755
conVals_spearman	PEN	BASE_VS_PREPCHANGE	correlation	top100	ss013	0.492709270927093
conVals_spearman	PEN	BASE_VS_MEANINGPRES	correlation	top100	ss013	0.533393339333933
conVals_spearman	GLASS	BASE_VS_NCHANGE	correlation	top100	ss013	0.167608760876087
conVals_spearman	GLASS	BASE_VS_AJCHANGE	correlation	top100	ss013	0.196207620762076
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	correlation	top100	ss013	0.312895289528953
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	correlation	top100	ss013	0.21030903090309
conVals_spearman	MAN	BASE_VS_NCHANGE	correlation	top100	ss014	0.181458145814581
conVals_spearman	MAN	BASE_VS_AJCHANGE	correlation	top100	ss014	0.155151515151515
conVals_spearman	MAN	BASE_VS_PREPCHANGE	correlation	top100	ss014	0.227086708670867
conVals_spearman	MAN	BASE_VS_MEANINGPRES	correlation	top100	ss014	0.303654365436543
conVals_spearman	CAT	BASE_VS_NCHANGE	correlation	top100	ss014	0.305982598259826
conVals_spearman	CAT	BASE_VS_AJCHANGE	correlation	top100	ss014	0.266234623462346
conVals_spearman	CAT	BASE_VS_PREPCHANGE	correlation	top100	ss014	0.616225622562256
conVals_spearman	CAT	BASE_VS_MEANINGPRES	correlation	top100	ss014	0.531341134113411
conVals_spearman	PEN	BASE_VS_NCHANGE	correlation	top100	ss014	0.162208220822082
conVals_spearman	PEN	BASE_VS_AJCHANGE	correlation	top100	ss014	0.256849684968497
conVals_spearman	PEN	BASE_VS_PREPCHANGE	correlation	top100	ss014	0.259273927392739
conVals_spearman	PEN	BASE_VS_MEANINGPRES	correlation	top100	ss014	0.339165916591659
conVals_spearman	GLASS	BASE_VS_NCHANGE	correlation	top100	ss014	0.471599159915992
conVals_spearman	GLASS	BASE_VS_AJCHANGE	correlation	top100	ss014	0.216225622562256
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	correlation	top100	ss014	0.635907590759076
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	correlation	top100	ss014	0.411149114911491
conVals_spearman	MAN	BASE_VS_NCHANGE	correlation	top100	ss015	0.171689168916892
conVals_spearman	MAN	BASE_VS_AJCHANGE	correlation	top100	ss015	1.0553495349535
conVals_spearman	MAN	BASE_VS_PREPCHANGE	correlation	top100	ss015	0.322244224422443
conVals_spearman	MAN	BASE_VS_MEANINGPRES	correlation	top100	ss015	1.31235523552355
conVals_spearman	CAT	BASE_VS_NCHANGE	correlation	top100	ss015	0.501518151815182
conVals_spearman	CAT	BASE_VS_AJCHANGE	correlation	top100	ss015	0.914395439543954
conVals_spearman	CAT	BASE_VS_PREPCHANGE	correlation	top100	ss015	1.2002400240024
conVals_spearman	CAT	BASE_VS_MEANINGPRES	correlation	top100	ss015	0.996711671167117
conVals_spearman	PEN	BASE_VS_NCHANGE	correlation	top100	ss015	0.163612361236124
conVals_spearman	PEN	BASE_VS_AJCHANGE	correlation	top100	ss015	0.782754275427543
conVals_spearman	PEN	BASE_VS_PREPCHANGE	correlation	top100	ss015	1.05758175817582
conVals_spearman	PEN	BASE_VS_MEANINGPRES	correlation	top100	ss015	0.662850285028503
conVals_spearman	GLASS	BASE_VS_NCHANGE	correlation	top100	ss015	0.461674167416742
conVals_spearman	GLASS	BASE_VS_AJCHANGE	correlation	top100	ss015	0.893921392139214
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	correlation	top100	ss015	0.368856885688569
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	correlation	top100	ss015	0.371281128112811
conVals_spearman	MAN	BASE_VS_NCHANGE	correlation	top100	ss016	0.245712571257126
conVals_spearman	MAN	BASE_VS_AJCHANGE	correlation	top100	ss016	0.25044104410441
conVals_spearman	MAN	BASE_VS_PREPCHANGE	correlation	top100	ss016	0.203264326432643
conVals_spearman	MAN	BASE_VS_MEANINGPRES	correlation	top100	ss016	0.310327032703271
conVals_spearman	CAT	BASE_VS_NCHANGE	correlation	top100	ss016	0.395367536753676
conVals_spearman	CAT	BASE_VS_AJCHANGE	correlation	top100	ss016	0.29981398139814
conVals_spearman	CAT	BASE_VS_PREPCHANGE	correlation	top100	ss016	0.218313831383139
conVals_spearman	CAT	BASE_VS_MEANINGPRES	correlation	top100	ss016	0.313735373537354
conVals_spearman	PEN	BASE_VS_NCHANGE	correlation	top100	ss016	0.373165316531653
conVals_spearman	PEN	BASE_VS_AJCHANGE	correlation	top100	ss016	0.168004800480048
conVals_spearman	PEN	BASE_VS_PREPCHANGE	correlation	top100	ss016	0.172001200120012
conVals_spearman	PEN	BASE_VS_MEANINGPRES	correlation	top100	ss016	0.174677467746775
conVals_spearman	GLASS	BASE_VS_NCHANGE	correlation	top100	ss016	0.0898409840984099
conVals_spearman	GLASS	BASE_VS_AJCHANGE	correlation	top100	ss016	0.0393039303930393
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	correlation	top100	ss016	0.0717431743174316
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	correlation	top100	ss016	0.168484848484849
conVals_spearman	MAN	BASE_VS_NCHANGE	correlation	top100	ss017	0.313339333933393
conVals_spearman	MAN	BASE_VS_AJCHANGE	correlation	top100	ss017	0.423066306630663
conVals_spearman	MAN	BASE_VS_PREPCHANGE	correlation	top100	ss017	0.203912391239124
conVals_spearman	MAN	BASE_VS_MEANINGPRES	correlation	top100	ss017	0.349174917491749
conVals_spearman	CAT	BASE_VS_NCHANGE	correlation	top100	ss017	0.242268226822682
conVals_spearman	CAT	BASE_VS_AJCHANGE	correlation	top100	ss017	0.327020702070207
conVals_spearman	CAT	BASE_VS_PREPCHANGE	correlation	top100	ss017	0.250513051305131
conVals_spearman	CAT	BASE_VS_MEANINGPRES	correlation	top100	ss017	0.346354635463547
conVals_spearman	PEN	BASE_VS_NCHANGE	correlation	top100	ss017	0.27014701470147
conVals_spearman	PEN	BASE_VS_AJCHANGE	correlation	top100	ss017	0.391887188718872
conVals_spearman	PEN	BASE_VS_PREPCHANGE	correlation	top100	ss017	0.285496549654966
conVals_spearman	PEN	BASE_VS_MEANINGPRES	correlation	top100	ss017	0.293297329732973
conVals_spearman	GLASS	BASE_VS_NCHANGE	correlation	top100	ss017	0.0722712271227125
conVals_spearman	GLASS	BASE_VS_AJCHANGE	correlation	top100	ss017	0.308442844284429
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	correlation	top100	ss017	0.217077707770777
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	correlation	top100	ss017	0.275631563156316
conVals_spearman	MAN	BASE_VS_NCHANGE	correlation	top100	ss018	0.140714071407141
conVals_spearman	MAN	BASE_VS_AJCHANGE	correlation	top100	ss018	0.100726072607261
conVals_spearman	MAN	BASE_VS_PREPCHANGE	correlation	top100	ss018	0.166612661266127
conVals_spearman	MAN	BASE_VS_MEANINGPRES	correlation	top100	ss018	0.0891449144914493
conVals_spearman	CAT	BASE_VS_NCHANGE	correlation	top100	ss018	0.617617761776178
conVals_spearman	CAT	BASE_VS_AJCHANGE	correlation	top100	ss018	0.123840384038404
conVals_spearman	CAT	BASE_VS_PREPCHANGE	correlation	top100	ss018	0.10933093309331
conVals_spearman	CAT	BASE_VS_MEANINGPRES	correlation	top100	ss018	0.131425142514252
conVals_spearman	PEN	BASE_VS_NCHANGE	correlation	top100	ss018	0.0540054005400542
conVals_spearman	PEN	BASE_VS_AJCHANGE	correlation	top100	ss018	0.033807380738074
conVals_spearman	PEN	BASE_VS_PREPCHANGE	correlation	top100	ss018	0.313255325532553
conVals_spearman	PEN	BASE_VS_MEANINGPRES	correlation	top100	ss018	0.171509150915092
conVals_spearman	GLASS	BASE_VS_NCHANGE	correlation	top100	ss018	0.43991599159916
conVals_spearman	GLASS	BASE_VS_AJCHANGE	correlation	top100	ss018	0.0973657365736575
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	correlation	top100	ss018	0.404104410441044
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	correlation	top100	ss018	0.0993339333933394
conVals_spearman	MAN	BASE_VS_NCHANGE	correlation	top100	ss019	0.681056105610561
conVals_spearman	MAN	BASE_VS_AJCHANGE	correlation	top100	ss019	0.192151215121512
conVals_spearman	MAN	BASE_VS_PREPCHANGE	correlation	top100	ss019	0.189270927092709
conVals_spearman	MAN	BASE_VS_MEANINGPRES	correlation	top100	ss019	0.518775877587759
conVals_spearman	CAT	BASE_VS_NCHANGE	correlation	top100	ss019	0.325172517251725
conVals_spearman	CAT	BASE_VS_AJCHANGE	correlation	top100	ss019	0.445460546054605
conVals_spearman	CAT	BASE_VS_PREPCHANGE	correlation	top100	ss019	0.441356135613561
conVals_spearman	CAT	BASE_VS_MEANINGPRES	correlation	top100	ss019	0.306762676267627
conVals_spearman	PEN	BASE_VS_NCHANGE	correlation	top100	ss019	0.312811281128113
conVals_spearman	PEN	BASE_VS_AJCHANGE	correlation	top100	ss019	0.117443744374438
